State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Description,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,25th Percentile,75th Percentile,Notes,Source,Location
District of Columbia,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2014,Medicaid & CHIP,Hybrid,79.8,34,81.4,69.7,86.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.8964, -77.0262)"
District of Columbia,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2014,Medicaid & CHIP,Administrative,89.3,43,88.6,84.3,91.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.8964, -77.0262)"
Nebraska,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,23.5,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(41.1289, -98.2883)"
South Dakota,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,16.5,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(44.2853, -99.4632)"
Utah,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,CHIP only,Hybrid,42.4,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.1135, -111.8535)"
South Carolina,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Administrative,34.1,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(33.8191, -80.9066)"
Oklahoma,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,Medicaid & CHIP,Administrative,9,29,9,7.8,10.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.5376, -96.9247)"
Tennessee,Primary Care and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2014,Medicaid only,Hybrid,65.5,35,67.1,52.6,79.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Arkansas,Primary Care and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Administrative,63.3,46,67.4,60.6,75.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.9513, -92.3809)"
Illinois,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,Medicaid & CHIP,Administrative,8.7,29,9,7.8,10.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.3363, -89.0022)"
Wisconsin,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,25.1,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(44.2563, -89.6385)"
Pennsylvania,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care – Emergency Department (ED) Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2014,Medicaid & CHIP,Administrative,51.2,37,45.7,40.1,52.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.5773, -77.264)"
North Carolina,Primary Care and Preventive Care,Child Core Set,Human Papillomavirus (HPV) Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2014,Medicaid & CHIP,Administrative,13.6,32,17.6,12.9,22.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.6411, -79.8431)"
Tennessee,Behavioral Health,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2014,Medicaid only,Administrative,71.9,34,65.2,51.9,78.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Kentucky,Behavioral Health,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2014,Medicaid & CHIP,Administrative,35.3,34,43.9,32,62.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.669, -84.6514)"
Utah,Primary Care and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2014,CHIP only,Hybrid,61.5,46,67.4,60.6,75.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.1135, -111.8535)"
Hawaii,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2014,Medicaid & CHIP,Hybrid,43.1,27,65.8,43.1,72.8,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(21.1098, -157.5311)"
Maine,Primary Care and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2014,Medicaid & CHIP,Administrative,39.1,37,48.3,43.5,56.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.6074, -69.3977)"
Ohio,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2014,Medicaid & CHIP,Administrative,86.9,42,91.2,86.1,94,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.3736, -82.7755)"
Montana,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2014,CHIP only,Administrative,71.5,43,88.6,84.3,91.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(46.9048, -110.3261)"
Tennessee,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,Medicaid only,Hybrid,50.3,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Kentucky,Primary Care and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2014,Medicaid & CHIP,Administrative,47.8,37,48.3,43.5,56.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.669, -84.6514)"
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2014,CHIP only,Administrative,25.1,25,31.2,24.5,38.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.799, -86.8073)"
