State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Description,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,25th Percentile,75th Percentile,Notes,Source
Michigan,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid only,Hybrid,54,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Tennessee,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2015,Medicaid only,Administrative,48.2,51,47.4,40.1,50,,"Mathematica analysis of FFY 2015 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b."
Maine,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative,65.4,47,66.9,57.3,75.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Montana,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2015,CHIP only,Administrative,9.8,36,20.8,14.5,23.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Alaska,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2015,Medicaid & CHIP,Administrative,41.6,39,44.2,37.8,51.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
South Carolina,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2015,Medicaid & CHIP,Administrative,88.8,44,91.5,87.9,93.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Mississippi,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,CHIP only,Administrative,23.9,33,24.3,22.1,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Maine,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,Medicaid & CHIP,Administrative,66.9,37,48,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New Mexico,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2015,Medicaid & CHIP,Administrative,41.5,41,47.6,43,53.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Idaho,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year Old Children at Elevated Caries Risk,SEAL-CH,Percentage Who Received a Sealant on a First Permanent Molar,2015,CHIP only,Administrative,9.8,25,23.4,18.1,25.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Oregon,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2015,Medicaid & CHIP,Administrative,89.4,34,71.8,58.7,78.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Oklahoma,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2015,Medicaid & CHIP,Administrative,96.1,45,95.2,93.2,97,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Iowa,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,Medicaid only,Administrative,19.9,33,24.3,22.1,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
North Carolina,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid & CHIP,Administrative,89.1,44,90,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Georgia,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2015,Medicaid & CHIP,Hybrid,81.6,39,67.1,63.4,73.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Pennsylvania,Primary Care Access and Preventive Care,Child Core Set,Body Mass Index Assessment for Children and Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2015,Medicaid & CHIP,Hybrid,68.1,33,53,21,68.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Nebraska,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2015,Medicaid only,Administrative,53.2,51,47.4,40.1,50,,"Mathematica analysis of FFY 2015 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b."
Georgia,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2015,Medicaid & CHIP,Administrative,48.7,39,44.2,37.8,51.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Maine,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2015,Medicaid & CHIP,Administrative,95.8,34,71.8,58.7,78.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Montana,Primary Care Access and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2015,CHIP only,Administrative,38.1,38,67.4,56.8,78.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
South Carolina,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2015,Medicaid only,Administrative,48.4,51,47.4,40.1,50,,"Mathematica analysis of FFY 2015 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b."
New Hampshire,Primary Care Access and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2015,Medicaid only,Hybrid,67.6,38,67.4,56.8,78.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Iowa,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2015,CHIP only,Administrative,40.2,34,71.8,58.7,78.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Connecticut,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2015,Medicaid & CHIP,Administrative,92.6,45,88,84.9,89.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Kentucky,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2015,Medicaid & CHIP,Administrative,53.5,34,71.8,58.7,78.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Maryland,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Hybrid,66.9,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Arizona,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2015,Medicaid only,Administrative,57.9,37,82,75.5,85.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
North Carolina,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative,68.6,47,66.9,57.3,75.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Iowa,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2015,CHIP only,Administrative,27.5,32,24.1,21.3,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Georgia,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Hybrid,69.4,47,66.9,57.3,75.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Oregon,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2015,Medicaid & CHIP,Administrative,89,44,91.5,87.9,93.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Illinois,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2015,Medicaid & CHIP,Administrative,54.3,37,82,75.5,85.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New Jersey,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2015,Medicaid & CHIP,Administrative,23.5,33,25,22.7,35.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Kansas,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2015,Medicaid & CHIP,Administrative,27.4,33,25,22.7,35.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Oklahoma,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2015,Medicaid & CHIP,Administrative,68.5,45,60.1,49.2,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Arkansas,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2015,Medicaid & CHIP,Administrative,21.8,32,24.1,21.3,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Delaware,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2015,Medicaid & CHIP,Administrative,91,44,91.5,87.9,93.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New York,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2015,Medicaid & CHIP,Hybrid,28.4,36,20.8,14.5,23.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Texas,Primary Care Access and Preventive Care,Child Core Set,Body Mass Index Assessment for Children and Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2015,Medicaid only,Administrative & Hybrid,46.7,33,53,21,68.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New Jersey,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2015,Medicaid & CHIP,Hybrid,70,45,60.1,49.2,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Texas,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2015,CHIP only,Administrative,56.8,37,59,44.4,64.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Florida,Primary Care Access and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2015,Medicaid & CHIP,Administrative & Hybrid,63.1,38,67.4,56.8,78.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Oregon,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2015,Medicaid & CHIP,Administrative,62.3,45,60.1,49.2,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Arkansas,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative,38.7,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Rhode Island,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2015,Medicaid & CHIP,Administrative,28.9,33,25,22.7,35.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Indiana,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2015,Medicaid & CHIP,Administrative,91.1,44,91.5,87.9,93.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Iowa,Primary Care Access and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2015,CHIP only,Hybrid,47.1,38,67.4,56.8,78.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Louisiana,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2015,Medicaid & CHIP,Administrative,92.6,45,95.2,93.2,97,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Delaware,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2015,Medicaid only,Administrative,47.9,51,47.4,40.1,50,,"Mathematica analysis of FFY 2015 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b."
Maryland,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Hybrid,83,47,66.9,57.3,75.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
South Carolina,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2015,Medicaid & CHIP,Administrative,45.7,33,45.7,32.7,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Texas,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care ,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2015,Medicaid only,Administrative,57,29,64.4,57,71,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Missouri,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year Old Children at Elevated Caries Risk,SEAL-CH,Percentage Who Received a Sealant on a First Permanent Molar,2015,CHIP only,Administrative,23.9,25,23.4,18.1,25.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Oklahoma,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2015,Medicaid & CHIP,Administrative,54.9,41,47.6,43,53.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Texas,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2015,Medicaid only,Administrative,17.1,32,24.1,21.3,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
