State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,Source,Location
Mississippi,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2016,Medicaid only,Administrative,86.9,46,89.6,85.5,92,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(32.7673, -89.6812)"
North Carolina,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2016,Medicaid only,Administrative,50.6,50,48.2,43.2,52.5,,"Mathematica analysis of FFY 2016 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b.","(35.6411, -79.8431)"
Alaska,Primary Care Access and Preventive Care,Child Core Set,Developmental Screening in the First Three Years of Life: Ages 0-3,DEV-CH,"Percentage Screened for Risk of Developmental, Behavioral, and Social Delays Using a Standardized Screening Tool: Ages 0-3",2016,Medicaid & CHIP,Administrative,1.6,26,36,15.7,50.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(61.385, -152.2683)"
West Virginia,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2016,CHIP only,NR,,34,23.4,21,26.2,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.468, -80.9696)"
Rhode Island,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visit: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2016,Medicaid & CHIP,Hybrid,60.2,46,45.1,36.1,56.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(41.6772, -71.5101)"
New Jersey,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2016,Medicaid & CHIP,Administrative,97.3,46,95.2,93.5,96.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.314, -74.5089)"
West Virginia,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women: Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2016,Medicaid only,Administrative,36.5,45,48.8,44.7,56.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.468, -80.9696)"
Mississippi,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 12-18,2016,Medicaid only,Administrative,25.8,39,25.8,22.9,33.9,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(32.7673, -89.6812)"
Rhode Island,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2016,Medicaid & CHIP,Administrative,60,41,44.7,34,60,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(41.6772, -71.5101)"
Indiana,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2016,Medicaid & CHIP,Administrative,95.6,46,95.2,93.5,96.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(39.8647, -86.2604)"
Wyoming,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-20,2016,Medicaid only,NR,,40,27.3,24.2,34.5,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.7475, -107.2085)"
Colorado,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2016,Medicaid & CHIP,Administrative,91.8,46,95.2,93.5,96.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(39.0646, -105.3272)"
Utah,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2016,CHIP only,Administrative,42.9,41,44.7,34,60,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.1135, -111.8535)"
Texas,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2016,Medicaid only,Hybrid,,41,68.5,61,73.3,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(31.106, -97.6475)"
Nevada,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents: Age 13,HPV-CH,Percentage of Female Adolescents Receiving Three Human Papillomavirus Vaccine Doses by their 13th Birthday,2016,Medicaid only,Hybrid,27.7,41,20.8,16.2,23.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.4199, -117.1219)"
California,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17 [Lower rates are better],2016,Medicaid & CHIP,Administrative,4.2,32,3,4.8,1.7,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(36.17, -119.7462)"
