State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,State Specific Comments,Source,Rate Used in Calculating State Mean and Median
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2018,Medicaid only,Administrative,45.9,45,44.7,35.1,55.4,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2018,Medicaid only,Administrative,68.6,44,67.1,56.6,76.2,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2018,CHIP only,Administrative,34.7,45,44.7,35.1,55.4,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2018,CHIP only,Administrative,56.8,44,67.1,56.6,76.2,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6-12,2018,Medicaid only,Administrative,52.7,40,48.7,43,56.3,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits in the 9 Months Following the Initiation Phase: Ages 6-12,2018,Medicaid only,Administrative,96.6,40,61.1,53.1,66.2,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6-12,2018,CHIP only,Administrative,42.0,40,48.7,43,56.3,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates. State applied optional exclusion of children with a diagnosis of narcolepsy.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits in the 9 Months Following the Initiation Phase: Ages 6-12,2018,CHIP only,Administrative,56.7,40,61.1,53.1,66.2,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates. State applied optional exclusion of children with a diagnosis of narcolepsy.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1-17,APP-CH,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 1-17,2018,Medicaid only,Administrative,66.2,28,63.5,57,69,,Medicaid rate includes FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1-17,APP-CH,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 1-17,2018,CHIP only,Administrative,60.2,28,63.5,57,69,,CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17,2018,Medicaid only,Administrative,4.0,39,2.9,3.6,1.9,,Medicaid rate includes FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17,2018,CHIP only,Administrative,1.2,39,2.9,3.6,1.9,,CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Beneficiary Months: Ages 0-19",2018,Medicaid only,Administrative,49.9,44,44.5,50,37.5,,Medicaid rate includes FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Beneficiary Months: Ages 0-19",2018,CHIP only,Administrative,27.5,44,44.5,50,37.5,,CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5-18,AMR-CH,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5-11,2018,Medicaid only,Administrative,85.5,32,73,66.6,76.9,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5-18,AMR-CH,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 12-18,2018,Medicaid only,Administrative,78.2,32,63.8,59.7,67.7,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5-18,AMR-CH,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5-18,2018,Medicaid only,Administrative,82.5,31,69.6,64,72.6,,Medicaid rates include FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5-18,AMR-CH,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5-11,2018,CHIP only,Administrative,61.3,32,73,66.6,76.9,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5-18,AMR-CH,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 12-18,2018,CHIP only,Administrative,54.1,32,63.8,59.7,67.7,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5-18,AMR-CH,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5-18,2018,CHIP only,Administrative,58.5,31,69.6,64,72.6,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
Alabama,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2018,Medicaid only,Administrative,22.1,32,24.1,20.9,26.3,,Medicaid rate includes FFS and PCCM populations.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,Yes
Alabama,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2018,CHIP only,Administrative,21.1,32,24.1,20.9,26.3,,CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.,No
