GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "01000","Alabama",5,SAIRPD,1,"...","Implicit regional price deflator","Index",82.3,82.1,84.0,85.8,87.9,88.8,89.4,89.3,89.3,90.9,93.0
 "02000","Alaska",8,SAIRPD,1,"...","Implicit regional price deflator","Index",100.4,100.3,100.7,102.9,105.2,106.2,109.2,108.6,109.7,110.8,112.9
 "04000","Arizona",6,SAIRPD,1,"...","Implicit regional price deflator","Index",94.5,93.9,94.1,95.9,97.0,97.6,98.5,98.8,99.3,101.4,103.9
 "05000","Arkansas",5,SAIRPD,1,"...","Implicit regional price deflator","Index",81.7,81.3,83.7,85.8,87.6,88.8,89.2,89.8,90.0,91.0,91.8
 "06000","California",8,SAIRPD,1,"...","Implicit regional price deflator","Index",106.2,105.9,108.5,111.0,112.7,114.4,116.7,117.0,119.0,121.4,124.3
 "08000","Colorado",7,SAIRPD,1,"...","Implicit regional price deflator","Index",94.3,94.8,96.4,99.3,101.0,103.3,104.7,105.2,105.5,107.8,109.7
 "09000","Connecticut",1,SAIRPD,1,"...","Implicit regional price deflator","Index",103.9,103.5,104.5,106.7,109.0,109.8,111.5,111.6,111.3,112.8,114.2
 "10000","Delaware",2,SAIRPD,1,"...","Implicit regional price deflator","Index",95.8,96.8,98.2,99.7,101.1,101.8,103.8,102.9,103.8,105.6,106.4
 "11000","District of Columbia",2,SAIRPD,1,"...","Implicit regional price deflator","Index",108.6,109.2,112.9,115.3,117.5,118.4,121.4,120.1,118.9,122.5,125.0
 "12000","Florida",5,SAIRPD,1,"...","Implicit regional price deflator","Index",94.7,93.8,94.6,97.2,98.9,100.4,102.1,102.4,103.8,105.8,108.3
 "13000","Georgia",5,SAIRPD,1,"...","Implicit regional price deflator","Index",87.9,87.3,88.1,90.0,92.0,93.4,94.5,95.4,96.2,98.0,100.1
 "15000","Hawaii",8,SAIRPD,1,"...","Implicit regional price deflator","Index",110.9,109.8,111.9,114.5,117.6,119.7,121.5,122.6,123.3,125.4,127.1
 "16000","Idaho",7,SAIRPD,1,"...","Implicit regional price deflator","Index",89.4,88.9,89.3,91.4,93.2,94.3,96.1,96.0,95.6,97.3,99.5
 "17000","Illinois",3,SAIRPD,1,"...","Implicit regional price deflator","Index",94.1,94.7,96.3,99.0,100.5,100.9,101.9,101.8,102.4,103.9,105.6
 "18000","Indiana",3,SAIRPD,1,"...","Implicit regional price deflator","Index",85.7,85.7,87.3,89.8,91.2,92.4,93.3,92.7,93.1,94.7,96.2
 "19000","Iowa",4,SAIRPD,1,"...","Implicit regional price deflator","Index",83.2,83.5,85.2,88.1,90.0,91.7,92.8,92.5,93.4,95.0,96.1
 "20000","Kansas",4,SAIRPD,1,"...","Implicit regional price deflator","Index",83.9,84.1,85.9,88.8,90.5,92.3,93.3,92.7,93.5,95.0,96.9
