GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "00000","United States", ,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",13207190.6,12807725.4,13104885.1,13569148.7,13998383.0,13987180.6,14570420.8,15244966.3,15478450.2,15925840.5,16471691.8
 "01000","Alabama",5,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",191198.8,189053.2,192366.3,195685.4,196547.3,196434.0,201887.4,210057.1,213613.3,217135.0,221887.2
 "02000","Alaska",8,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",32704.2,32807.8,35043.1,36762.9,37229.5,36602.5,37656.3,39122.9,37865.3,37904.6,38826.8
 "04000","Arizona",6,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",236375.3,225708.1,228950.8,236158.4,244199.6,248828.8,261264.5,274421.5,284330.0,295486.3,305947.3
 "05000","Arkansas",5,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",112445.1,111030.9,111458.1,116067.3,122111.1,120729.5,127264.6,130429.9,133383.0,137027.2,141932.1
 "06000","California",8,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",1512956.8,1467747.1,1501074.1,1565877.3,1643599.4,1648755.7,1731411.7,1856155.8,1902708.8,1952522.4,2023347.3
 "08000","Colorado",7,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",221329.8,209607.1,213092.3,224786.3,234861.1,241406.3,259111.0,270237.2,274544.5,288143.4,303432.3
 "09000","Connecticut",1,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",208683.3,206329.4,212695.2,214513.2,214002.3,208139.6,214265.2,219601.8,224199.9,228853.5,239213.9
 "10000","Delaware",2,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",37575.4,37474.5,37401.8,39949.6,39915.4,40223.7,41304.6,43896.9,44360.6,45654.2,47729.5
 "11000","District of Columbia",2,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",32652.5,32783.9,34083.4,36239.0,36956.6,37327.2,38926.5,42399.2,44753.8,44850.9,46089.7
 "12000","Florida",5,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",767917.7,727914.2,766517.9,786975.8,801998.0,792350.6,838939.1,894763.1,907891.3,949539.5,984580.1
 "13000","Georgia",5,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",380563.1,375075.7,380457.8,398310.7,400843.9,400847.4,424077.0,444594.3,457399.0,473452.4,488463.1
 "15000","Hawaii",8,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",50528.6,50710.9,51082.3,52460.1,53116.2,52906.8,55007.1,57413.9,59093.0,60366.9,61930.6
 "16000","Idaho",7,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",56156.1,54521.7,56212.5,58104.4,60219.5,61851.1,64328.5,68597.3,71559.5,74328.4,77362.0
 "17000","Illinois",3,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",586343.9,554775.3,560979.0,573657.9,590345.6,602177.4,625264.3,650945.6,654944.7,663556.6,685680.0
 "18000","Indiana",3,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",264239.5,256975.6,263724.0,273203.3,281854.5,281890.3,290530.8,303957.5,311688.0,317998.6,328057.2
 "19000","Iowa",4,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",139702.5,134828.8,136408.9,142480.8,146602.0,146702.7,150185.2,155966.8,155760.8,157087.2,164635.2
 "20000","Kansas",4,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",136537.9,131704.6,131692.8,138085.9,143859.9,144011.3,145757.0,148662.8,147945.4,149705.1,154667.2
 "21000","Kentucky",5,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",168321.9,166850.3,170327.2,174491.5,176825.5,175211.3,183101.2,189710.4,193857.1,197818.1,200569.4
 "22000","Louisiana",5,SARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",197368.7,191059.8,196444.5,198744.7,204484.9,205097.4,212379.0,215590.9,214315.2,217033.2,224496.4
