State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
AZ,Arizona,11/01/2019,Y,P,N,98064,,N/A,,98064,,,,,,,,,,1716801,,14.2417,-170.7197,"(14.2417, -170.7197)",1618769,,98032,
AZ,Arizona,07/01/2019,Y,U,Y,112109,,N/A,,112109,,,,,,,,,,1715655,,14.2417,-170.7197,"(14.2417, -170.7197)",1614557,,101098,
CO,Colorado,08/01/2019,Y,P,N,22220,,77,,22297,,18999,,326,,19325,,578103,,1293450,,36.17,-119.7462,"(36.17, -119.7462)",1211549,,81901,
CO,Colorado,06/01/2019,Y,P,N,21837,,90,,21927,,18509,,338,,18847,,580498,,1297969,,36.17,-119.7462,"(36.17, -119.7462)",1215997,,81972,
CO,Colorado,12/01/2019,Y,U,Y,27684,,180,,27864,,21809,,383,,22192,,571623,,1286739,,36.17,-119.7462,"(36.17, -119.7462)",1207844,,78895,
CT,Connecticut,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,,,39.0646,-105.3272,"(39.0646, -105.3272)",,,,
DE,Delaware,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,223324,,38.8964,-77.0262,"(38.8964, -77.0262)",,,,
FL,Florida,09/01/2013,N,U,Y,,,,,,,,,,,,,,,3695306,,39.3498,-75.5148,"(39.3498, -75.5148)",,,,
GA,Georgia,09/01/2013,N,U,Y,,,,,,,,,,,,,,,1535090,,27.8333,-81.717,"(27.8333, -81.717)",,,,
HI,Hawaii,11/01/2019,Y,U,Y,4979,,N/A,,4979,,5831,,513,,6344,,139175,,326784,,32.9866,-83.6487,"(32.9866, -83.6487)",301271,,25513,
KY,Kentucky,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,606805,,38.5111,-96.8005,"(38.5111, -96.8005)",,,,
KY,Kentucky,02/01/2020,Y,U,Y,9473,,,,9473,,,,1437,,1437,,547576,,1288129,,38.5111,-96.8005,"(38.5111, -96.8005)",1193114,,95015,
MA,Massachusetts,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,1296359,,31.1801,-91.8749,"(31.1801, -91.8749)",,,,
MD,Maryland,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,856297,,42.2373,-71.5314,"(42.2373, -71.5314)",,,,
ME,Maine,03/01/2020,Y,P,N,6880,,N/A,,6880,,13151,,874,,14025,,102869,,222971,,39.0724,-76.7902,"(39.0724, -76.7902)",210633,,12338,
ME,Maine,05/01/2020,Y,U,Y,5476,,N/A,,5476,,7228,,307,,7535,,106606,,230811,,39.0724,-76.7902,"(39.0724, -76.7902)",218442,,12369,
